ID,Organism,Strain,Molecule product,DB xref,location
PV454546.1,Canine coronavirus,N/A,N/A,taxon:11153,Iraq
GQ130258.1,Canine coronavirus,97/06-27,N/A,taxon:11153,United Kingdom
KP281552.1,Canine coronavirus,CCoV/vaccine/passage6/clone80,N/A,taxon:11153,N/A
MW186441.1,Canine coronavirus,N/A,N/A,taxon:11153,China
OK340213.1,Canine coronavirus,SWU-SSX10/2021/CCoVI,N/A,taxon:11153,China
KF312731.1,Canine coronavirus,1008-IIa,N/A,taxon:11153,Brazil
KP281568.1,Canine coronavirus,CCoV/vaccine/passage8/clone96,N/A,taxon:11153,N/A
DQ431025.1,Canine coronavirus,UPPS2/04,N/A,taxon:11153,Sweden
MW591993.2,Canine coronavirus,N/A,N/A,taxon:11153,Malaysia
AB781813.1,Canine coronavirus,fc94-022,N/A,taxon:11153,Japan
JQ422576.1,Canine coronavirus,AT/04/09/IIa/GR,N/A,taxon:11153,Greece
KT222969.1,Canine coronavirus,MDJ-26,N/A,taxon:11153,China
MZ420153.1,Canine coronavirus,N/A,N/A,taxon:11153,Haiti
MZ173449.1,Canine coronavirus,CCoV/NC0604,N/A,taxon:11153,China
JQ422583.1,Canine coronavirus,TH/101/08/IIa/GR,N/A,taxon:11153,Greece
KP281594.1,Canine coronavirus,CCoV/vaccine/clone124,N/A,taxon:11153,N/A
A22884.1,Canine coronavirus,CCVInSAVC-1,N/A,taxon:11153,N/A
KT222979.1,Canine coronavirus,HRB-bb3,N/A,taxon:11153,China
JQ422590.1,Canine coronavirus,TH/73/08/IIb/GR,N/A,taxon:11153,Greece
JX035852.1,Canine coronavirus,N/A,N/A,taxon:11153,United Kingdom
KP281510.1,Canine coronavirus,CCoV/vaccine/passage3/clone44,N/A,taxon:11153,N/A
KP281574.1,Canine coronavirus,CCoV/vaccine/passage8/clone102,N/A,taxon:11153,N/A
KP281532.1,Canine coronavirus,CCoV/vaccine/passage5/clone56,N/A,taxon:11153,N/A
DQ112226.1,Canine coronavirus,CB/05,N/A,taxon:11153,Italy
KP281497.1,Canine coronavirus,CCoV/vaccine/passage2/clone14,N/A,taxon:11153,N/A
LN624644.1,Canine coronavirus,N/A,N/A,taxon:11153,N/A
GQ130243.1,Canine coronavirus,164/01,N/A,taxon:11153,Italy
OQ623710.1,Canine coronavirus,N/A,N/A,taxon:11153,China
HQ339886.1,Canine coronavirus,64/06,N/A,taxon:11153,Tanzania
GQ130259.1,Canine coronavirus,241/06-9,N/A,taxon:11153,United Kingdom
OQ565741.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
OQ565734.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
OQ565721.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
OK340206.1,Canine coronavirus,SWU-SSX3/2021/CCoVI,N/A,taxon:11153,China
KY063617.1,Canine coronavirus,N/A,N/A,taxon:11153,China
LN624661.1,Canine coronavirus,N/A,N/A,taxon:11153,N/A
KP281529.1,Canine coronavirus,CCoV/vaccine/passage5/clone29,N/A,taxon:11153,N/A
OQ407505.1,Canine coronavirus,N/A,N/A,taxon:11153,China
OQ623707.1,Canine coronavirus,N/A,N/A,taxon:11153,China
OM950728.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KP322047.1,Canine coronavirus,CCoV-I/dog98,N/A,taxon:11153,Brazil
KP281581.1,Canine coronavirus,CCoV/vaccine/passage9/clone110,N/A,taxon:11153,N/A
KP281561.1,Canine coronavirus,CCoV/vaccine/passage7/clone89,N/A,taxon:11153,N/A
GQ148756.1,Canine coronavirus,255/05-B,N/A,taxon:11153,Italy
OP422912.1,Canine coronavirus,N/A,N/A,taxon:11153,China
MK986781.1,Canine coronavirus,CCoV/NTUCL16,N/A,taxon:11153,Taiwan
OX335534.1,Canine coronavirus,N/A,N/A,taxon:11153,N/A
MZ173450.1,Canine coronavirus,CCoV/CD0529,N/A,taxon:11153,China
LN624648.1,Canine coronavirus,N/A,N/A,taxon:11153,N/A
OP422915.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KP281576.1,Canine coronavirus,CCoV/vaccine/passage9/clone105,N/A,taxon:11153,N/A
EF408007.1,Canine coronavirus,C7-33-II,N/A,taxon:11153,N/A
OP422919.1,Canine coronavirus,N/A,N/A,taxon:11153,China
OQ351914.1,Canine coronavirus,N/A,N/A,taxon:11153,China
GQ130247.1,Canine coronavirus,360/05,N/A,taxon:11153,Italy
MW147008.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
KP281569.1,Canine coronavirus,CCoV/vaccine/passage8/clone97,N/A,taxon:11153,N/A
OQ565730.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
MW354911.1,Canine coronavirus,41,N/A,taxon:11153,China
JQ422573.1,Canine coronavirus,TH/81/09/IIa/GR,N/A,taxon:11153,Greece
KT222995.1,Canine coronavirus,HRB-A4,N/A,taxon:11153,China
LC190904.1,Canine coronavirus,CCoV/dog/HCM49/2015,N/A,taxon:11153,Viet Nam
MT114538.1,Canine coronavirus,B639_ZJ_2019,N/A,taxon:11153,China
OP422920.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KF312719.1,Canine coronavirus,891-I,N/A,taxon:11153,Brazil
GQ130264.1,Canine coronavirus,2/06,N/A,taxon:11153,Hungary
KF312729.1,Canine coronavirus,859-IIa,N/A,taxon:11153,Brazil
HQ339890.1,Canine coronavirus,36/07,N/A,taxon:11153,Tanzania
OQ565732.1,Canine coronavirus,N/A,N/A,taxon:11153,Italy
MK986783.1,Canine coronavirus,CCoV/NTUCL18,N/A,taxon:11153,Taiwan
KT222972.1,Canine coronavirus,HRB-A8,N/A,taxon:11153,China
MF095848.1,Canine coronavirus 2,SH36_2004,N/A,taxon:2185079,Tanzania
JQ422557.1,Canine coronavirus,TH/101/08/I/GR,N/A,taxon:11153,Greece
JQ422589.1,Canine coronavirus,TH/24/09/IIb/GR,N/A,taxon:11153,Greece
MT294701.1,Canine coronavirus,N/A,N/A,taxon:11153,Turkey
KT222986.1,Canine coronavirus,HRB-D0,N/A,taxon:11153,China
OP422914.1,Canine coronavirus,N/A,N/A,taxon:11153,China
KP281579.1,Canine coronavirus,CCoV/vaccine/passage9/clone108,N/A,taxon:11153,N/A
