ID,Organism,Strain,Molecule product,DB xref,location
MN173804.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
PV164736.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Shaanxi
KY078913.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
LC260041.1,Porcine deltacoronavirus,IWT/JPN/2014,N/A,taxon:1586324,Japan: Iwate
KX834351.1,Porcine deltacoronavirus,PDCoV/Swine/Vietnam/HaNoi6/2015,N/A,taxon:1586324,Viet Nam
PQ594377.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MW685624.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,Haiti
OR240109.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MH025762.1,Porcine deltacoronavirus,CH/JXJGS01/P7,N/A,taxon:1586324,China
ON494594.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MT505447.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MZ388469.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Guangxi
KY078906.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KX022605.1,Porcine deltacoronavirus,PDCoV/USA/Nebraska145/2015,N/A,taxon:1586324,USA: Nebraska
MN520198.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Anhui
KX361344.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,Thailand
MN058054.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Anhui
KX361343.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,Thailand
MN520199.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Anhui
MF461406.1,Porcine deltacoronavirus,PDCV_ZJ17DQ0301,N/A,taxon:1586324,China
MW627237.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,"China: Sichuan, Chongzhou"
MK625641.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KR265864.1,Porcine deltacoronavirus,USA/Minnesota292/2014,N/A,taxon:1586324,USA: Minnesota
MH708125.1,Porcine deltacoronavirus,HNZK-06,N/A,taxon:1586324,China
KY078914.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KU204697.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Guangxi
KY363868.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
PV593735.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
OR230675.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KY513725.1,Porcine deltacoronavirus,CH/Jiangsu/2014,N/A,taxon:1586324,China: Jiangsu
MH025763.1,Porcine deltacoronavirus,CH/JXJGS01/P20,N/A,taxon:1586324,China
KY078909.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN781985.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MW816149.1,Porcine deltacoronavirus,CH7328,N/A,taxon:1586324,China
MT260150.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN058066.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Shandong
KJ569769.1,Porcine coronavirus HKU15,IN2847,N/A,taxon:1159905,USA: Ohio
MH118331.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,Viet Nam
MF431743.1,Porcine deltacoronavirus,SD,N/A,taxon:1586324,China
MG837130.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,South Korea
MZ388471.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Guangxi
PQ373831.2,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN520190.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Anhui
MK478382.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,Mexico
MG835612.1,Porcine deltacoronavirus Sichuan,N/A,N/A,taxon:2078986,China
MN058049.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Anhui
MF041982.1,Porcine deltacoronavirus,SHJS/SL/2016,N/A,taxon:1586324,China
KU051656.1,Porcine deltacoronavirus,PDCoV/Swine/Thailand/S5025/2015,N/A,taxon:1586324,Thailand
OQ566226.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,South Korea
MN058048.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Anhui
KJ601779.1,Deltacoronavirus PDCoV/USA/Illinois136/2014,PDCoV/USA/Illinois136/2014,N/A,taxon:1477413,USA: Illinois
MN520194.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Shandong
OQ718500.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,South Korea
MN520207.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Jiangsu
MH051845.1,Porcine deltacoronavirus Sichuan,N/A,N/A,taxon:2078986,China
MT985159.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,"China: Sichuan, Chongzhou"
OQ736716.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
OP501870.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
LC260038.1,Porcine deltacoronavirus,AKT/JPN/2014,N/A,taxon:1586324,Japan: Akita
MF461411.1,Porcine deltacoronavirus,PDCV_ZJ17DQ0201,N/A,taxon:1586324,China
MT505454.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
LC260040.1,Porcine deltacoronavirus,GNM-2/JPN/2014,N/A,taxon:1586324,Japan: Gunma
KT021234.1,Porcine deltacoronavirus,CH/SXD1/2015,N/A,taxon:1586324,China
KT021240.1,Porcine deltacoronavirus,CH/GDD3/2015,N/A,taxon:1586324,China
OM777140.1,Porcine deltacoronavirus,NTU/C253/21,N/A,taxon:1586324,Taiwan
MF948005.1,Porcine deltacoronavirus,HB-BD,N/A,taxon:1586324,China
MZ712039.1,Porcine deltacoronavirus,PDCoV/110-635/TW-2021,N/A,taxon:1586324,Taiwan
PQ594374.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
PV580088.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KU051646.1,Porcine deltacoronavirus,PDCoV/Swine/Thailand/S5014L/2015,N/A,taxon:1586324,Thailand
MZ326690.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KU981060.1,Porcine deltacoronavirus,NH,N/A,taxon:1586324,China
MG837131.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,South Korea
ON631048.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
OR060947.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MK625640.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MG242062.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
ON631054.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN058069.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Shandong
MZ712040.1,Porcine deltacoronavirus,PDCoV/110-504/TW-2021,N/A,taxon:1586324,Taiwan
MK333245.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN058073.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Guangxi
MK005882.1,Porcine deltacoronavirus,Swine/CHN/SC/2018/1,N/A,taxon:1586324,China
JQ065043.2,Porcine coronavirus HKU15,HKU15-155,N/A,taxon:1159905,China: Hong Kong
MN058059.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Jiangsu
MK625638.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KJ601777.1,Deltacoronavirus PDCoV/USA/Illinois133/2014,PDCoV/USA/Illinois133/2014,N/A,taxon:1477411,USA: Illinois
MK478381.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,Mexico
KJ567050.1,Porcine deltacoronavirus 8734/USA-IA/2014,USA/IA/2014/8734,N/A,taxon:1476502,USA: Iowa
PQ594378.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
ON631051.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MK040449.1,Porcine deltacoronavirus,CH-DH1-2017,N/A,taxon:1586324,China
ON631053.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MN058070.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Shandong
KU051651.1,Porcine deltacoronavirus,PDCoV/Swine/Thailand/S5018/2015,N/A,taxon:1586324,Thailand
MT505453.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KT021239.1,Porcine deltacoronavirus,CH/GDD2/2015,N/A,taxon:1586324,China
LC260043.1,Porcine deltacoronavirus,OKN/JPN/2014,N/A,taxon:1586324,Japan: Okinawa
MZ802772.1,Porcine deltacoronavirus,PDCoV/CBR-1/2016/Thailand,N/A,taxon:1586324,Thailand
PQ645844.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Zhejiang
KX834352.1,Porcine deltacoronavirus,PDCoV/Swine/Vietnam/Binh21/2015,N/A,taxon:1586324,Viet Nam
KM613173.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,USA
ON936274.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MK333246.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KR265860.1,Porcine deltacoronavirus,USA/Nebraska209/2014,N/A,taxon:1586324,USA: Nebraska
MT263013.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
OR122653.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KX710201.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,South Korea: Kyunggi
MW627231.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,"China: Sichuan, Nanchong"
KJ584358.1,Porcine coronavirus HKU15,PA3148,N/A,taxon:1159905,USA: Pennsylvania
MZ995263.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
ON382562.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
KJ769231.1,Swine deltacoronavirus OhioCVM1/2014,SdCV/USA/OhioCVM1/2014,N/A,taxon:1525854,USA
ON631052.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
PV164739.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China: Zhejiang Shaoxing
KT336560.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
OR269935.1,Porcine deltacoronavirus,N/A,N/A,taxon:1586324,China
MZ802776.1,Porcine deltacoronavirus,PDCoV/VUT-1/2016/Vietnam,N/A,taxon:1586324,Viet Nam
MZ712038.1,Porcine deltacoronavirus,PDCoV/110-648/TW-2021,N/A,taxon:1586324,Taiwan
MK040451.1,Porcine deltacoronavirus,CH-WH-2017,N/A,taxon:1586324,China
